Teams,M,W,L,T,N/R,PT,NRR,Series Form,Next,For,Against
Gujarat Titans,5,4,1,0,0,8,1.413,LWWWW,"vs LSG, DC, KKR",968/94.3,883/100.0
Delhi Capitals,4,4,0,0,0,8,1.278,WWWW,"vs MI, RR, GT",729/73.2,693/80.0
Kolkata Knight Riders,6,3,3,0,0,6,0.803,WLWLW,"vs PBKS, GT, PBKS",984/107.4,910/109.1
Royal Challengers Bengaluru,5,3,2,0,0,6,0.539,WWLWL,"vs RR, PBKS, PBKS",926/96.2,868/95.4
Punjab Kings,4,3,1,0,0,6,0.289,WWLW,"vs SRH, KKR, RCB",794/76.2,809/80.0
Lucknow Super Giants,5,3,2,0,0,6,0.078,LWLWW,"vs GT, CSK, RR",1014/96.1,1003/95.5
Rajasthan Royals,5,2,3,0,0,4,-0.733,LLWWL,"vs RCB, DC, LSG",939/100.0,987/97.3
Mumbai Indians,5,1,4,0,0,2,-0.010,LLWLL,"vs DC, SRH, CSK",836/92.5,894/99.1
Chennai Super Kings,6,1,5,0,0,2,-1.554,LLLLL,"vs LSG, MI, SRH",942/119.1,1042/110.1
Sunrisers Hyderabad,5,1,4,0,0,2,-1.629,WLLLL,"vs PBKS, MI, MI",911/100.0,954/88.5
