Teams,M,W,L,N/R,PT,NRR,Series Form,Next,For,Against,Unnamed: 11
Gujarat Titans,13,9,4,0,18,0.602,LWWWL,vs CSK,2537/251.5,2409/254.2,
Punjab Kings,12,8,3,1,17,0.389,LNRWWW,"vs DC, MI",2054/208.1,2003/211.2,
Royal Challengers Bengaluru,13,8,4,1,17,0.255,WWWAL,vs LSG,2127/225.1,2094/227.5,
Mumbai Indians,13,8,5,0,16,1.292,WWWLW,vs PBKS,2288/241.2,2114/258.1,
Delhi Capitals,13,6,6,1,13,-0.019,LLNRLL,vs PBKS,2146/231.1,2203/236.5,
Lucknow Super Giants,13,6,7,0,12,-0.337,LLLLW,vs RCB,2505/255.4,2549/251.3,
Kolkata Knight Riders,13,5,6,2,12,0.193,NRWWLA,vs SRH,1827/207.4,1797/208.5,
Sunrisers Hyderabad,13,5,7,1,11,-0.737,WLNRWW,vs KKR,2241/235.3,2283/222.4,
Rajasthan Royals,14,4,10,0,8,-0.549,WLLLW,-,2603/273.0,2773/275.0,
Chennai Super Kings,13,3,10,0,6,-1.030,LLLWL,vs GT,2211/258.2,2314/241.2,
