Teams,M,W,L,N/R,PT,NRR,Series Form,Next,For,Against,Unnamed: 11
Punjab Kings,14,9,4,1,19,0.372,WWWLW,-,2447/246.4,2395/250.5,
Royal Challengers Bengaluru,14,9,4,1,19,0.301,WWALW,-,2357/243.5,2321/247.5,
Gujarat Titans,14,9,5,0,18,0.254,WWWLL,-,2684/271.5,2639/274.2,
Mumbai Indians,14,8,6,0,16,1.142,WWLWL,-,2472/261.2,2301/276.4,
Delhi Capitals,14,7,6,1,15,0.011,LNRLLW,-,2354/250.4,2409/256.5,
Sunrisers Hyderabad,14,6,7,1,13,-0.241,LNRWWW,-,2519/255.3,2451/242.4,
Lucknow Super Giants,14,6,8,0,12,-0.376,LLLWL,-,2732/275.4,2779/270.1,
Kolkata Knight Riders,14,5,7,2,12,-0.305,WWLAL,-,1995/227.4,2075/228.5,
Rajasthan Royals,14,4,10,0,8,-0.549,WLLLW,-,2603/273.0,2773/275.0,
Chennai Super Kings,14,4,10,0,8,-0.647,LLWLW,-,2441/278.2,2461/261.2,
